Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,0,0.0046,0.0008
0.02,0.0001,0.0047,0.0008
0.04,0.0002,0.0046,0.0008
0.06,0.0003,0.005,0.0009
0.08,0.0007,0.0066,0.0009
0.1,0.0012,0.0104,0.0009
0.12,0.0017,0.0162,0.001
0.14,0.0022,0.0227,0.0012
0.16,0.0026,0.0287,0.0013
0.18,0.0029,0.0336,0.0015
0.2,0.0032,0.0376,0.0015
0.22,0.0034,0.041,0.0016
0.24,0.0037,0.0441,0.0017
0.26,0.0041,0.0473,0.0017
0.28,0.0045,0.051,0.0018
0.3,0.0049,0.0553,0.0019
0.32,0.0054,0.0603,0.002
0.34,0.0058,0.0654,0.0021
0.36,0.0062,0.0701,0.0022
0.38,0.0065,0.0743,0.0023
0.4,0.0068,0.0779,0.0023
0.42,0.0071,0.0811,0.0023
0.44,0.0074,0.0844,0.0024
0.46,0.0077,0.0874,0.0025
0.48,0.008,0.0905,0.0026
0.5,0.0082,0.0936,0.0027
0.52,0.0085,0.0965,0.0027
0.54,0.0088,0.0994,0.0028
0.56,0.0091,0.1023,0.0028
0.58,0.0095,0.1054,0.0029
0.6,0.0099,0.1092,0.0029
0.62,0.0103,0.1136,0.0031
0.64,0.0108,0.1183,0.0032
0.66,0.0112,0.1231,0.0033
0.68,0.0115,0.1276,0.0033
0.7,0.0119,0.1316,0.0034
0.72,0.0122,0.1351,0.0035
0.74,0.0125,0.1384,0.0035
0.76,0.0127,0.1415,0.0036
0.78,0.013,0.1444,0.0037
0.8,0.0133,0.1471,0.0037
0.82,0.0135,0.1498,0.0038
0.84,0.0138,0.1524,0.0038
0.86,0.0141,0.1552,0.0039
0.88,0.0145,0.1585,0.004
0.9,0.0149,0.1623,0.004
0.92,0.0154,0.1667,0.0041
0.94,0.0158,0.1716,0.0042
0.96,0.0162,0.1764,0.0043
0.98,0.0165,0.1806,0.0044
1,0.0168,0.1843,0.0045
1.02,0.0171,0.1876,0.0045
1.04,0.0175,0.1909,0.0046
1.06,0.0177,0.1942,0.0047
1.08,0.0181,0.1974,0.0048
1.1,0.0183,0.2003,0.0048
1.12,0.0186,0.2032,0.0049
1.14,0.0189,0.2062,0.0049
1.16,0.0191,0.2094,0.005
1.18,0.0195,0.2124,0.005
1.2,0.0199,0.2156,0.0051
1.22,0.0203,0.2196,0.0052
1.24,0.0207,0.2242,0.0053
1.26,0.0212,0.229,0.0054
1.28,0.0215,0.2336,0.0055
1.3,0.0219,0.238,0.0056
1.32,0.0222,0.2415,0.0057
1.34,0.0224,0.2446,0.0057
1.36,0.0228,0.2476,0.0058
1.38,0.023,0.2506,0.0059
1.4,0.0233,0.2534,0.0059
1.42,0.0236,0.2563,0.006
1.44,0.0238,0.2591,0.006
1.46,0.0241,0.2619,0.0061
1.48,0.0245,0.2651,0.0061
