Time,Displacement,Force
(s),(mm),(N)
0.00000,0.00000,1.09490
0.02000,0.00000,1.09860
0.04000,0.00000,1.09600
0.06000,0.00000,1.07250
0.08000,0.00000,1.08390
0.10000,0.00020,1.08790
0.12000,0.00040,1.09850
0.14000,0.00060,1.09520
0.16000,0.00120,1.22400
0.18000,0.00210,1.60170
0.20000,0.00330,2.21480
0.22000,0.00480,3.03570
0.24000,0.00640,4.08140
0.26000,0.00780,5.14230
0.28000,0.00890,6.10120
0.30000,0.00970,6.88700
0.32000,0.01050,7.48030
0.34000,0.01120,8.01570
0.36000,0.01190,8.49410
0.38000,0.01260,8.90740
0.40000,0.01320,9.28250
0.42000,0.01370,9.63490
0.44000,0.01440,9.99030
0.46000,0.01510,10.31720
0.48000,0.01570,10.68240
0.50000,0.01640,11.12720
0.52000,0.01710,11.59380
0.54000,0.01770,12.00050
0.56000,0.01840,12.40670
0.58000,0.01910,12.79110
0.60000,0.01970,13.11200
0.62000,0.02030,13.44940
0.64000,0.02100,13.83370
0.66000,0.02180,14.28190
0.68000,0.02270,14.80800
0.70000,0.02340,15.29380
0.72000,0.02410,15.72360
0.74000,0.02470,16.13780
0.76000,0.02530,16.51640
0.78000,0.02600,16.91200
0.80000,0.02670,17.34780
0.82000,0.02740,17.80510
0.84000,0.02810,18.21530
0.86000,0.02880,18.66090
0.88000,0.02950,19.14350
0.90000,0.03010,19.60060
0.92000,0.03070,20.01250
0.94000,0.03140,20.37170
0.96000,0.03200,20.71910
0.98000,0.03260,21.11000
1.00000,0.03330,21.53690
1.02000,0.03390,21.99490
1.04000,0.03460,22.44000
1.06000,0.03530,22.87860
1.08000,0.03590,23.28220
1.10000,0.03650,23.69160
1.12000,0.03720,24.08290
1.14000,0.03790,24.53510
1.16000,0.03860,25.01240
1.18000,0.03930,25.47850
1.20000,0.04000,25.95470
1.22000,0.04070,26.41860
1.24000,0.04140,26.90270
1.26000,0.04200,27.36780
1.28000,0.04260,27.77530
1.30000,0.04320,28.17410
1.32000,0.04390,28.56800
1.34000,0.04460,29.02310
1.36000,0.04550,29.54840
1.38000,0.04620,30.06440
1.40000,0.04670,30.51400
1.42000,0.04720,30.91040
1.44000,0.04780,31.25210
1.46000,0.04850,31.59380
1.48000,0.04920,32.01910
1.50000,0.05010,32.53380
1.52000,0.05080,33.07150
1.54000,0.05150,33.59790
1.56000,0.05210,34.06580
1.58000,0.05280,34.48940
1.60000,0.05340,34.90680
1.62000,0.05410,35.31830
1.64000,0.05470,35.71250
1.66000,0.05540,36.11420
1.68000,0.05600,36.49850
1.70000,0.05670,36.92180
1.72000,0.05740,37.38320
1.74000,0.05800,37.75500
1.76000,0.05860,38.12740
1.78000,0.05910,38.46190
1.80000,0.05990,38.80490
1.82000,0.06060,39.26230
1.84000,0.06130,39.75840
1.86000,0.06190,40.19530
1.88000,0.06260,40.64830
1.90000,0.06330,41.07820
1.92000,0.06400,41.50570
1.94000,0.06460,41.93360
1.96000,0.06520,42.34530
1.98000,0.06580,42.77070
2.00000,0.06650,43.16460
2.02000,0.06720,43.57220
2.04000,0.06790,44.02780
2.06000,0.06870,44.55180
2.08000,0.06930,45.09030
2.10000,0.06980,45.54280
2.12000,0.07050,45.90790
2.14000,0.07120,46.26530
2.16000,0.07190,46.70180
2.18000,0.07260,47.21720
2.20000,0.07340,47.75600
2.22000,0.07400,48.28590
2.24000,0.07460,48.74390
2.26000,0.07530,49.13450
2.28000,0.07590,49.54020
2.30000,0.07660,49.96300
2.32000,0.07720,50.40640
2.34000,0.07790,50.85680
2.36000,0.07850,51.26700
2.38000,0.07920,51.67280
2.40000,0.07980,52.08730
2.42000,0.08050,52.49790
2.44000,0.08110,52.92040
2.46000,0.08180,53.31730
2.48000,0.08250,53.75390
2.50000,0.08320,54.25370
2.52000,0.08390,54.73270
2.54000,0.08450,55.17790
2.56000,0.08520,55.59840
2.58000,0.08580,56.01960
2.60000,0.08650,56.42380
2.62000,0.08710,56.82900
2.64000,0.08770,57.23030
2.66000,0.08830,57.60970
2.68000,0.08900,58.01030
2.70000,0.08970,58.45840
2.72000,0.09050,58.93870
2.74000,0.09130,59.43910
2.76000,0.09180,59.93780
2.78000,0.09240,60.36240
2.80000,0.09310,60.72830
2.82000,0.09390,61.13960
2.84000,0.09460,61.60450
2.86000,0.09530,62.09280
2.88000,0.09600,62.56670
2.90000,0.09670,63.04340
2.92000,0.09730,63.49770
2.94000,0.09800,63.89860
2.96000,0.09870,64.28890
2.98000,0.09930,64.71470
3.00000,0.10000,65.13070
3.02000,0.10070,65.56120
3.04000,0.10130,66.00980
3.06000,0.10200,66.45620
3.08000,0.10270,66.90660
3.10000,0.10330,67.31380
3.12000,0.10390,67.70830
3.14000,0.10460,68.10430
3.16000,0.10530,68.55640
3.18000,0.10590,68.99840
3.20000,0.10650,69.42770
3.22000,0.10720,69.84330
3.24000,0.10790,70.24970
3.26000,0.10850,70.65010
3.28000,0.10920,71.09810
3.30000,0.10980,71.50280
3.32000,0.11040,71.87870
3.34000,0.11100,72.24530
3.36000,0.11180,72.65730
3.38000,0.11260,73.13260
3.40000,0.11330,73.64760
3.42000,0.11400,74.17790
3.44000,0.11460,74.64070
3.46000,0.11520,75.01770
3.48000,0.11590,75.37270
3.50000,0.11660,75.78430
3.52000,0.11730,76.24230
3.54000,0.11820,76.73940
3.56000,0.11880,77.21800
3.58000,0.11940,77.65700
3.60000,0.11990,78.06340
3.62000,0.12070,78.43410
3.64000,0.12120,78.79570
3.66000,0.12200,79.18350
3.68000,0.12270,79.62030
3.70000,0.12320,80.06980
3.72000,0.12400,80.51030
3.74000,0.12470,80.93740
3.76000,0.12530,81.34850
3.78000,0.12580,81.75620
3.80000,0.12640,82.13680
3.82000,0.12710,82.53300
3.84000,0.12800,82.93850
3.86000,0.12860,83.37750
3.88000,0.12930,83.80570
3.90000,0.12990,84.22090
3.92000,0.13060,84.59890
3.94000,0.13120,84.99610
3.96000,0.13170,85.39620
3.98000,0.13230,85.81640
4.00000,0.13290,86.20270
4.02000,0.13360,86.56240
4.04000,0.13430,86.95650
4.06000,0.13520,87.43640
4.08000,0.13590,87.92450
4.10000,0.13660,88.42110
4.12000,0.13720,88.87670
4.14000,0.13780,89.24250
4.16000,0.13850,89.58240
4.18000,0.13930,90.02900
4.20000,0.14000,90.52180
4.22000,0.14080,91.04890
4.24000,0.14150,91.54580
4.26000,0.14230,91.98760
4.28000,0.14280,92.41440
4.30000,0.14340,92.80450
4.32000,0.14400,93.18040
4.34000,0.14470,93.57900
4.36000,0.14540,93.99280
4.38000,0.14600,94.40360
4.40000,0.14670,94.78750
4.42000,0.14730,95.17530
4.44000,0.14790,95.56240
4.46000,0.14860,95.96220
4.48000,0.14930,96.39410
4.50000,0.15000,96.85550
4.52000,0.15060,97.32080
4.54000,0.15120,97.71910
4.56000,0.15190,98.09990
4.58000,0.15260,98.44830
4.60000,0.15320,98.85520
4.62000,0.15390,99.32780
4.64000,0.15440,99.76130
4.66000,0.15500,100.09500
4.68000,0.15570,100.39650
4.70000,0.15640,100.76350
4.72000,0.15720,101.23180
4.74000,0.15800,101.75210
4.76000,0.15870,102.28590
4.78000,0.15930,102.74620
4.80000,0.15980,103.12060
4.82000,0.16060,103.45660
4.84000,0.16130,103.84180
4.86000,0.16200,104.27680
4.88000,0.16280,104.75400
4.90000,0.16350,105.21580
4.92000,0.16420,105.67520
4.94000,0.16480,106.14270
4.96000,0.16540,106.56340
4.98000,0.16600,106.95040
5.00000,0.16670,107.28190
5.02000,0.16740,107.63660
5.04000,0.16800,108.04730
5.06000,0.16870,108.50320
5.08000,0.16940,108.98040
5.10000,0.17010,109.39540
5.12000,0.17070,109.77300
5.14000,0.17140,110.17170
5.16000,0.17210,110.58380
5.18000,0.17270,111.02960
5.20000,0.17330,111.46420
5.22000,0.17400,111.83970
5.24000,0.17470,112.21240
5.26000,0.17530,112.63110
5.28000,0.17600,113.05820
5.30000,0.17660,113.47690
5.32000,0.17720,113.86460
5.34000,0.17770,114.17780
5.36000,0.17840,114.46090
5.38000,0.17910,114.82000
5.40000,0.17980,115.24530
5.42000,0.18050,115.74570
5.44000,0.18120,116.23410
5.46000,0.18180,116.64300
5.48000,0.18240,117.00560
5.50000,0.18300,117.34600
5.52000,0.18370,117.69460
5.54000,0.18450,118.12680
5.56000,0.18520,118.63670
5.58000,0.18590,119.12720
5.60000,0.18660,119.57030
5.62000,0.18740,120.02770
5.64000,0.18790,120.44540
5.66000,0.18870,120.85690
5.68000,0.18940,121.25150
5.70000,0.19000,121.64610
5.72000,0.19070,122.04040
5.74000,0.19120,122.45520
5.76000,0.19200,122.85370
5.78000,0.19250,123.25910
5.80000,0.19310,123.66780
5.82000,0.19380,124.05050
5.84000,0.19440,124.40750
5.86000,0.19510,124.80540
5.88000,0.19590,125.20370
5.90000,0.19640,125.59280
5.92000,0.19720,125.99090
5.94000,0.19790,126.40720
5.96000,0.19860,126.85640
5.98000,0.19920,127.27420
6.00000,0.19970,127.63410
6.02000,0.20030,127.99490
6.04000,0.20100,128.38400
6.06000,0.20180,128.79290
6.08000,0.20260,129.22820
6.10000,0.20330,129.68050
6.12000,0.20390,130.11090
6.14000,0.20460,130.57060
6.16000,0.20510,130.94950
6.18000,0.20580,131.28400
6.20000,0.20650,131.61890
6.22000,0.20720,132.06660
6.24000,0.20800,132.55940
6.26000,0.20860,133.03810
6.28000,0.20930,133.47210
6.30000,0.20990,133.83220
6.32000,0.21060,134.19960
6.34000,0.21120,134.60050
6.36000,0.21190,135.01250
6.38000,0.21260,135.39100
6.40000,0.21320,135.78660
6.42000,0.21390,136.21770
6.44000,0.21450,136.61850
6.46000,0.21510,136.99120
6.48000,0.21570,137.35190
6.50000,0.21630,137.69540
6.52000,0.21700,138.04180
6.54000,0.21780,138.44540
6.56000,0.21850,138.92100
6.58000,0.21920,139.39400
6.60000,0.21990,139.85340
6.62000,0.22060,140.26680
6.64000,0.22120,140.67970
6.66000,0.22190,141.07110
6.68000,0.22240,141.42410
6.70000,0.22300,141.74910
6.72000,0.22370,142.07460
6.74000,0.22440,142.46090
6.76000,0.22520,142.91910
6.78000,0.22600,143.41400
6.80000,0.22670,143.86560
6.82000,0.22710,144.27430
6.84000,0.22780,144.59930
6.86000,0.22840,144.92860
6.88000,0.22930,145.33770
6.90000,0.23010,145.83250
6.92000,0.23090,146.33520
6.94000,0.23160,146.81960
6.96000,0.23230,147.29090
6.98000,0.23290,147.72300
7.00000,0.23350,148.12090
7.02000,0.23410,148.48030
7.04000,0.23470,148.77180
7.06000,0.23540,149.07880
7.08000,0.23600,149.46320
7.10000,0.23660,149.88450
7.12000,0.23730,150.26820
7.14000,0.23790,150.66720
7.16000,0.23850,151.00520
7.18000,0.23920,151.33420
7.20000,0.23990,151.75130
7.22000,0.24060,152.19870
7.24000,0.24120,152.63410
7.26000,0.24190,153.02520
7.28000,0.24250,153.39020
7.30000,0.24320,153.80600
7.32000,0.24380,154.23900
7.34000,0.24450,154.62860
7.36000,0.24510,154.97500
7.38000,0.24580,155.30180
