Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.2976
0.0200,0.0001,0.2875
0.0400,0.0001,0.2862
0.0600,0.0001,0.2879
0.0800,0.0002,0.3065
0.1000,0.0002,0.3247
0.1200,0.0004,0.3250
0.1400,0.0006,0.3350
0.1600,0.0014,0.4505
0.1800,0.0026,0.8897
0.2000,0.0042,1.7811
0.2200,0.0058,3.0190
0.2400,0.0071,4.2630
0.2600,0.0081,5.3370
0.2800,0.0090,6.1744
0.3000,0.0097,6.8374
0.3200,0.0104,7.3467
0.3400,0.0111,7.8142
0.3600,0.0119,8.2964
0.3800,0.0126,8.8222
0.4000,0.0133,9.3401
0.4200,0.0139,9.8634
0.4400,0.0144,10.3115
0.4600,0.0151,10.7043
0.4800,0.0158,11.1186
0.5000,0.0166,11.5915
0.5200,0.0175,12.1608
0.5400,0.0183,12.7647
0.5600,0.0190,13.3135
0.5800,0.0196,13.8132
0.6000,0.0202,14.2706
0.6200,0.0209,14.6780
0.6400,0.0215,15.0870
0.6600,0.0221,15.4939
0.6800,0.0228,15.9361
0.7000,0.0235,16.3895
0.7200,0.0241,16.8320
0.7400,0.0247,17.2799
0.7600,0.0254,17.7067
0.7800,0.0260,18.1319
0.8000,0.0267,18.5668
0.8200,0.0273,19.0385
0.8400,0.0280,19.5093
0.8600,0.0286,19.9051
0.8800,0.0292,20.2907
0.9000,0.0299,20.7052
0.9200,0.0307,21.1870
0.9400,0.0313,21.6602
0.9600,0.0319,22.1215
0.9800,0.0325,22.5182
1.0000,0.0332,22.9174
1.0200,0.0339,23.3467
1.0400,0.0347,23.8353
1.0600,0.0355,24.4049
1.0800,0.0361,24.9532
1.1000,0.0367,25.3982
1.1200,0.0373,25.7557
1.1400,0.0380,26.0869
1.1600,0.0387,26.5026
1.1800,0.0395,27.0296
1.2000,0.0403,27.5434
1.2200,0.0410,28.0221
1.2400,0.0417,28.5037
1.2600,0.0421,28.9533
1.2800,0.0429,29.3384
1.3000,0.0434,29.6925
1.3200,0.0440,30.0776
1.3400,0.0447,30.4880
1.3600,0.0455,30.9307
1.3800,0.0460,31.3900
1.4000,0.0467,31.8104
1.4200,0.0473,32.1955
1.4400,0.0479,32.5857
1.4600,0.0486,33.0040
1.4800,0.0492,33.4211
1.5000,0.0499,33.8602
1.5200,0.0506,34.2728
1.5400,0.0512,34.6874
1.5600,0.0519,35.1057
1.5800,0.0525,35.5136
1.6000,0.0531,35.8970
1.6200,0.0538,36.2783
1.6400,0.0545,36.6611
1.6600,0.0551,37.0462
1.6800,0.0558,37.4108
1.7000,0.0567,37.7854
1.7200,0.0574,38.0772
1.7400,0.0581,38.1219
1.7600,0.0587,37.9475
1.7800,0.0593,37.8894
1.8000,0.0599,37.9667
1.8200,0.0606,38.0830
1.8400,0.0613,38.2467
1.8600,0.0621,38.3988
1.8800,0.0628,38.5064
1.9000,0.0635,38.5672
1.9200,0.0641,38.5820
1.9400,0.0648,38.6492
1.9600,0.0654,38.7426
1.9800,0.0660,38.8191
2.0000,0.0667,38.8422
2.0200,0.0673,38.8764
2.0400,0.0680,38.9372
2.0600,0.0687,39.0678
2.0800,0.0694,39.1779
2.1000,0.0700,39.2693
2.1200,0.0706,39.3973
2.1400,0.0713,39.5000
2.1600,0.0719,39.6223
2.1800,0.0726,39.7909
