Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.1416
0.0200,0.0002,0.1601
0.0400,0.0019,0.2243
0.0600,0.0061,0.6487
0.0800,0.0138,1.9783
0.1000,0.0235,4.5837
0.1200,0.0335,8.1365
0.1400,0.0425,11.9514
0.1600,0.0503,15.3967
0.1800,0.0578,18.2800
0.2000,0.0653,20.9049
0.2200,0.0725,23.5191
0.2400,0.0796,26.0897
0.2600,0.0867,28.6410
0.2800,0.0935,31.1273
0.3000,0.1006,33.5269
0.3200,0.1074,35.8913
0.3400,0.1142,38.2752
0.3600,0.1209,40.5788
0.3800,0.1277,42.9022
0.4000,0.1343,45.2221
0.4200,0.1407,47.4575
0.4400,0.1473,49.6175
0.4600,0.1537,51.7606
0.4800,0.1603,53.8320
0.5000,0.1669,55.3422
0.5200,0.1738,55.9207
0.5400,0.1804,56.0438
0.5600,0.1870,56.3095
0.5800,0.1938,56.8643
0.6000,0.2007,57.6759
0.6200,0.2073,58.4019
0.6400,0.2140,58.9930
0.6600,0.2209,60.3067
0.6800,0.2276,62.2080
0.7000,0.2342,64.0352
0.7200,0.2410,65.7351
0.7400,0.2477,67.6280
0.7600,0.2542,69.7675
0.7800,0.2608,71.9271
0.8000,0.2673,74.1089
0.8200,0.2738,76.2998
0.8400,0.2803,78.4365
0.8600,0.2870,80.5566
0.8800,0.2936,82.7049
0.9000,0.3002,84.8691
0.9200,0.3072,87.0485
0.9400,0.3140,89.2837
0.9600,0.3208,91.5269
0.9800,0.3276,93.7050
1.0000,0.3343,95.8917
1.0200,0.3408,98.0914
1.0400,0.3476,100.1920
1.0600,0.3543,102.2748
1.0800,0.3610,104.3989
1.1000,0.3676,106.5282
1.1200,0.3744,108.6532
1.1400,0.3808,110.8071
1.1600,0.3872,112.9089
1.1800,0.3938,114.9449
1.2000,0.4003,116.9597
1.2200,0.4067,118.9889
1.2400,0.4134,120.9929
1.2600,0.4203,123.0421
1.2800,0.4271,125.1885
1.3000,0.4340,127.4247
1.3200,0.4411,129.6173
1.3400,0.4478,131.8092
1.3600,0.4543,133.9426
1.3800,0.4609,135.9945
1.4000,0.4676,138.0487
1.4200,0.4742,140.1221
1.4400,0.4808,142.1538
1.4600,0.4876,144.2009
1.4800,0.4941,146.2247
1.5000,0.5007,148.2424
1.5200,0.5074,150.2395
1.5400,0.5138,152.2850
1.5600,0.5202,154.2975
1.5800,0.5268,156.2723
1.6000,0.5336,158.2628
1.6200,0.5403,160.3056
1.6400,0.5470,162.3196
1.6600,0.5539,164.3355
1.6800,0.5608,166.3872
1.7000,0.5675,168.4874
1.7200,0.5743,170.5816
1.7400,0.5810,172.7147
1.7600,0.5876,174.7396
1.7800,0.5943,176.6597
1.8000,0.6010,178.6287
1.8200,0.6076,180.6545
1.8400,0.6141,182.6229
1.8600,0.6209,184.5786
1.8800,0.6275,186.5893
1.9000,0.6341,188.5839
1.9200,0.6406,190.5110
1.9400,0.6472,192.4110
1.9600,0.6537,194.3344
1.9800,0.6603,196.2740
2.0000,0.6672,198.2284
2.0200,0.6741,200.2638
2.0400,0.6807,202.3333
2.0600,0.6876,204.3176
2.0800,0.6944,206.2975
2.1000,0.7010,208.2925
2.1200,0.7076,210.2469
2.1400,0.7144,212.1709
2.1600,0.7210,214.1107
2.1800,0.7273,216.0266
2.2000,0.7340,217.8614
2.2200,0.7406,219.7002
2.2400,0.7471,221.5506
2.2600,0.7537,223.3945
2.2800,0.7604,225.2779
2.3000,0.7671,227.2336
2.3200,0.7736,229.1880
2.3400,0.7805,231.0817
2.3600,0.7873,232.9897
2.3800,0.7939,234.9357
2.4000,0.8007,236.8280
2.4200,0.8076,238.7662
2.4400,0.8143,240.7516
2.4600,0.8211,242.7047
2.4800,0.8278,244.6143
2.5000,0.8344,246.5108
2.5200,0.8408,248.3504
2.5400,0.8474,250.1446
2.5600,0.8539,251.9117
2.5800,0.8603,253.7034
2.6000,0.8670,255.5043
2.6200,0.8736,257.3465
2.6400,0.8803,259.2018
2.6600,0.8872,261.0597
2.6800,0.8939,262.9476
2.7000,0.9005,264.8589
2.7200,0.9073,266.7352
2.7400,0.9141,268.5690
2.7600,0.9207,270.4174
2.7800,0.9273,272.2542
2.8000,0.9342,274.0654
2.8200,0.9409,275.8934
2.8400,0.9476,277.7612
2.8600,0.9544,279.6340
2.8800,0.9610,281.4764
2.9000,0.9673,283.2686
2.9200,0.9738,284.9990
2.9400,0.9806,286.7378
2.9600,0.9871,288.4982
2.9800,0.9936,290.2337
3.0000,1.0003,291.9326
3.0200,1.0071,293.7343
3.0400,1.0139,295.6138
3.0600,1.0205,297.4354
3.0800,1.0273,299.2341
3.1000,1.0339,301.0134
3.1200,1.0407,302.8093
3.1400,1.0474,304.6089
3.1600,1.0541,306.4238
3.1800,1.0610,308.2117
3.2000,1.0677,309.9986
3.2200,1.0743,311.8057
3.2400,1.0806,313.5463
3.2600,1.0868,315.1949
3.2800,1.0933,316.7922
3.3000,1.0999,318.4037
3.3200,1.1064,320.0643
3.3400,1.1133,321.7927
3.3600,1.1201,323.5679
3.3800,1.1271,325.3981
3.4000,1.1338,327.2440
3.4200,1.1407,329.0378
3.4400,1.1473,330.7824
3.4600,1.1538,332.4953
3.4800,1.1606,334.1909
3.5000,1.1673,335.9164
3.5200,1.1739,337.6532
3.5400,1.1809,339.3424
3.5600,1.1879,341.0924
3.5800,1.1946,342.9149
3.6000,1.2011,344.6714
3.6200,1.2077,346.3350
3.6400,1.2141,347.9521
3.6600,1.2203,349.5198
3.6800,1.2268,351.0643
3.7000,1.2336,352.6656
3.7200,1.2403,354.3594
3.7400,1.2470,356.0637
3.7600,1.2540,357.7889
3.7800,1.2608,359.5735
3.8000,1.2673,361.3127
3.8200,1.2743,362.9686
3.8400,1.2809,364.6533
3.8600,1.2874,366.3445
3.8800,1.2940,367.9430
3.9000,1.3010,369.5414
3.9200,1.3077,371.2071
3.9400,1.3143,372.8761
3.9600,1.3210,374.5226
3.9800,1.3275,376.1571
4.0000,1.3338,377.7168
4.0200,1.3404,379.2435
4.0400,1.3469,380.8135
4.0600,1.3535,382.3669
4.0800,1.3602,383.9380
4.1000,1.3672,385.5540
4.1200,1.3740,387.2148
4.1400,1.3809,388.9120
4.1600,1.3877,390.6161
4.1800,1.3941,392.3279
4.2000,1.4006,393.8865
4.2200,1.4075,395.3912
4.2400,1.4142,396.9533
4.2600,1.4209,398.5704
4.2800,1.4278,400.1771
4.3000,1.4344,401.7905
4.3200,1.4407,403.3624
4.3400,1.4472,404.8557
4.3600,1.4540,406.3358
4.3800,1.4603,407.8801
4.4000,1.4667,409.4052
4.4200,1.4736,410.8806
4.4400,1.4803,412.4191
4.4600,1.4869,413.9814
4.4800,1.4939,415.5453
4.5000,1.5008,417.1984
4.5200,1.5076,418.8251
4.5400,1.5142,420.3823
4.5600,1.5210,421.9179
4.5800,1.5275,423.4662
4.6000,1.5341,424.9647
4.6200,1.5409,426.4654
4.6400,1.5477,428.0046
4.6600,1.5542,429.5603
4.6800,1.5609,431.0154
4.7000,1.5675,432.4947
4.7200,1.5740,434.0060
4.7400,1.5803,435.4870
4.7600,1.5869,436.8970
4.7800,1.5935,438.3181
4.8000,1.6001,439.7803
4.8200,1.6070,441.2596
4.8400,1.6139,442.8227
4.8600,1.6209,444.4462
4.8800,1.6276,446.0478
4.9000,1.6345,447.6083
4.9200,1.6411,449.1617
4.9400,1.6475,450.6324
4.9600,1.6542,451.9865
4.9800,1.6609,453.3876
5.0000,1.6675,454.8610
5.0200,1.6740,456.3150
5.0400,1.6808,457.7276
5.0600,1.6874,459.1657
5.0800,1.6939,460.5941
