Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0001,-0.0001
0.0200,0.0000,0.0000,-0.0001
0.0400,0.0001,0.0000,-0.0001
0.0600,0.0004,0.0001,-0.0002
0.0800,0.0007,0.0003,-0.0002
0.1000,0.0012,0.0004,-0.0001
0.1200,0.0016,0.0004,-0.0001
0.1400,0.0020,0.0004,-0.0001
0.1600,0.0023,0.0006,-0.0002
0.1800,0.0027,0.0006,-0.0002
0.2000,0.0031,0.0006,-0.0002
0.2200,0.0035,0.0007,-0.0002
0.2400,0.0040,0.0008,-0.0002
0.2600,0.0044,0.0008,-0.0002
0.2800,0.0049,0.0009,-0.0002
0.3000,0.0052,0.0008,-0.0001
0.3200,0.0055,0.0009,-0.0001
0.3400,0.0058,0.0008,-0.0001
0.3600,0.0061,0.0008,-0.0002
0.3800,0.0064,0.0009,-0.0002
0.4000,0.0066,0.0009,-0.0002
0.4200,0.0069,0.0010,-0.0001
0.4400,0.0072,0.0010,-0.0001
0.4600,0.0075,0.0009,-0.0001
0.4800,0.0079,0.0009,-0.0001
0.5000,0.0083,0.0009,-0.0001
0.5200,0.0088,0.0009,-0.0001
0.5400,0.0092,0.0010,-0.0001
0.5600,0.0096,0.0011,-0.0001
0.5800,0.0099,0.0011,-0.0001
0.6000,0.0102,0.0012,-0.0001
0.6200,0.0106,0.0013,-0.0001
0.6400,0.0109,0.0014,-0.0001
0.6600,0.0111,0.0014,-0.0001
0.6800,0.0114,0.0014,-0.0001
0.7000,0.0117,0.0013,-0.0001
0.7200,0.0119,0.0014,-0.0001
0.7400,0.0122,0.0016,-0.0001
0.7600,0.0125,0.0017,0.0000
0.7800,0.0129,0.0017,-0.0001
0.8000,0.0132,0.0017,-0.0001
0.8200,0.0137,0.0018,-0.0001
0.8400,0.0141,0.0019,-0.0001
0.8600,0.0145,0.0020,-0.0001
0.8800,0.0149,0.0021,0.0000
0.9000,0.0153,0.0021,0.0000
0.9200,0.0156,0.0020,0.0000
0.9400,0.0159,0.0019,-0.0001
0.9600,0.0162,0.0018,-0.0001
0.9800,0.0164,0.0019,0.0000
1.0000,0.0167,0.0022,0.0000
1.0200,0.0169,0.0022,0.0000
1.0400,0.0172,0.0020,-0.0001
1.0600,0.0175,0.0021,-0.0001
1.0800,0.0179,0.0022,-0.0001
1.1000,0.0183,0.0023,0.0000
1.1200,0.0187,0.0026,0.0000
1.1400,0.0192,0.0027,-0.0001
1.1600,0.0196,0.0029,-0.0001
1.1800,0.0199,0.0029,-0.0001
1.2000,0.0203,0.0029,-0.0001
1.2200,0.0206,0.0029,-0.0001
1.2400,0.0209,0.0030,0.0000
1.2600,0.0212,0.0031,0.0000
1.2800,0.0215,0.0032,0.0000
1.3000,0.0217,0.0033,0.0000
1.3200,0.0220,0.0034,0.0000
1.3400,0.0223,0.0036,0.0000
1.3600,0.0226,0.0035,0.0001
1.3800,0.0228,0.0036,0.0001
1.4000,0.0232,0.0038,0.0000
1.4200,0.0236,0.0038,0.0000
1.4400,0.0241,0.0039,0.0000
1.4600,0.0245,0.0040,0.0000
1.4800,0.0249,0.0043,0.0001
1.5000,0.0253,0.0044,0.0001
1.5200,0.0256,0.0044,0.0001
1.5400,0.0259,0.0045,0.0000
1.5600,0.0262,0.0047,0.0000
1.5800,0.0265,0.0047,0.0001
1.6000,0.0267,0.0047,0.0001
1.6200,0.0270,0.0047,0.0001
1.6400,0.0273,0.0047,0.0001
1.6600,0.0275,0.0049,0.0001
1.6800,0.0279,0.0050,0.0001
1.7000,0.0282,0.0052,0.0001
1.7200,0.0287,0.0052,0.0001
1.7400,0.0291,0.0054,0.0001
1.7600,0.0295,0.0055,0.0001
1.7800,0.0299,0.0058,0.0001
1.8000,0.0303,0.0059,0.0002
1.8200,0.0306,0.0061,0.0002
1.8400,0.0309,0.0062,0.0002
1.8600,0.0312,0.0065,0.0002
1.8800,0.0315,0.0069,0.0002
1.9000,0.0318,0.0074,0.0003
1.9200,0.0320,0.0077,0.0004
1.9400,0.0323,0.0081,0.0004
1.9600,0.0326,0.0085,0.0004
1.9800,0.0329,0.0089,0.0004
2.0000,0.0332,0.0094,0.0005
2.0200,0.0336,0.0102,0.0005
2.0400,0.0340,0.0109,0.0006
2.0600,0.0344,0.0118,0.0007
2.0800,0.0349,0.0127,0.0008
2.1000,0.0352,0.0138,0.0008
2.1200,0.0356,0.0149,0.0009
2.1400,0.0359,0.0159,0.0010
2.1600,0.0363,0.0168,0.0011
2.1800,0.0365,0.0176,0.0012
2.2000,0.0368,0.0182,0.0012
2.2200,0.0371,0.0189,0.0013
2.2400,0.0373,0.0196,0.0013
2.2600,0.0376,0.0203,0.0014
2.2800,0.0379,0.0210,0.0015
2.3000,0.0382,0.0219,0.0016
2.3200,0.0386,0.0229,0.0016
2.3400,0.0390,0.0240,0.0017
2.3600,0.0394,0.0252,0.0018
2.3800,0.0399,0.0264,0.0020
2.4000,0.0402,0.0277,0.0021
2.4200,0.0406,0.0288,0.0021
2.4400,0.0409,0.0300,0.0022
2.4600,0.0412,0.0309,0.0023
2.4800,0.0415,0.0319,0.0024
2.5000,0.0418,0.0329,0.0025
2.5200,0.0421,0.0339,0.0025
2.5400,0.0424,0.0347,0.0026
2.5600,0.0426,0.0355,0.0027
2.5800,0.0429,0.0363,0.0028
2.6000,0.0432,0.0371,0.0029
2.6200,0.0436,0.0381,0.0030
2.6400,0.0440,0.0392,0.0031
2.6600,0.0444,0.0406,0.0031
2.6800,0.0448,0.0421,0.0033
2.7000,0.0452,0.0435,0.0034
2.7200,0.0456,0.0448,0.0035
2.7400,0.0460,0.0460,0.0036
2.7600,0.0462,0.0473,0.0037
2.7800,0.0466,0.0483,0.0038
2.8000,0.0468,0.0493,0.0039
2.8200,0.0471,0.0503,0.0040
2.8400,0.0473,0.0511,0.0041
2.8600,0.0476,0.0518,0.0041
2.8800,0.0479,0.0528,0.0042
2.9000,0.0482,0.0536,0.0043
2.9200,0.0485,0.0546,0.0044
2.9400,0.0489,0.0560,0.0045
2.9600,0.0494,0.0574,0.0046
2.9800,0.0498,0.0589,0.0047
3.0000,0.0502,0.0607,0.0048
3.0200,0.0506,0.0622,0.0050
3.0400,0.0509,0.0635,0.0051
3.0600,0.0512,0.0647,0.0052
3.0800,0.0515,0.0658,0.0052
3.1000,0.0519,0.0668,0.0053
3.1200,0.0521,0.0677,0.0054
3.1400,0.0524,0.0687,0.0055
3.1600,0.0527,0.0698,0.0056
3.1800,0.0529,0.0709,0.0057
3.2000,0.0532,0.0717,0.0057
3.2200,0.0535,0.0726,0.0058
3.2400,0.0539,0.0739,0.0059
3.2600,0.0543,0.0753,0.0060
3.2800,0.0547,0.0768,0.0061
3.3000,0.0552,0.0785,0.0062
3.3200,0.0556,0.0802,0.0064
3.3400,0.0559,0.0818,0.0065
3.3600,0.0562,0.0831,0.0066
3.3800,0.0565,0.0843,0.0067
3.4000,0.0568,0.0856,0.0068
3.4200,0.0571,0.0867,0.0069
3.4400,0.0574,0.0877,0.0070
3.4600,0.0576,0.0887,0.0071
3.4800,0.0579,0.0897,0.0071
3.5000,0.0582,0.0907,0.0072
3.5200,0.0585,0.0917,0.0073
3.5400,0.0589,0.0929,0.0074
3.5600,0.0593,0.0944,0.0075
3.5800,0.0598,0.0962,0.0076
3.6000,0.0602,0.0980,0.0077
3.6200,0.0606,0.0998,0.0079
3.6400,0.0610,0.1015,0.0080
3.6600,0.0613,0.1029,0.0081
3.6800,0.0616,0.1043,0.0082
3.7000,0.0619,0.1054,0.0082
3.7200,0.0621,0.1066,0.0083
3.7400,0.0624,0.1077,0.0084
3.7600,0.0627,0.1086,0.0085
3.7800,0.0629,0.1097,0.0086
3.8000,0.0633,0.1109,0.0087
3.8200,0.0635,0.1121,0.0088
3.8400,0.0639,0.1131,0.0088
3.8600,0.0643,0.1144,0.0089
3.8800,0.0647,0.1159,0.0090
3.9000,0.0651,0.1177,0.0091
3.9200,0.0655,0.1195,0.0093
3.9400,0.0659,0.1214,0.0094
3.9600,0.0662,0.1231,0.0095
3.9800,0.0665,0.1244,0.0095
4.0000,0.0669,0.1256,0.0096
4.0200,0.0671,0.1268,0.0098
4.0400,0.0674,0.1281,0.0099
4.0600,0.0677,0.1291,0.0099
4.0800,0.0679,0.1303,0.0100
4.1000,0.0682,0.1314,0.0100
4.1200,0.0685,0.1325,0.0101
4.1400,0.0689,0.1337,0.0102
4.1600,0.0693,0.1351,0.0103
4.1800,0.0697,0.1368,0.0104
4.2000,0.0702,0.1386,0.0105
4.2200,0.0706,0.1406,0.0107
4.2400,0.0710,0.1425,0.0108
4.2600,0.0713,0.1443,0.0109
4.2800,0.0716,0.1460,0.0111
4.3000,0.0719,0.1472,0.0112
4.3200,0.0722,0.1486,0.0112
4.3400,0.0725,0.1498,0.0113
4.3600,0.0727,0.1510,0.0114
4.3800,0.0730,0.1521,0.0114
4.4000,0.0733,0.1533,0.0116
4.4200,0.0736,0.1543,0.0116
4.4400,0.0739,0.1556,0.0117
4.4600,0.0742,0.1570,0.0118
4.4800,0.0746,0.1584,0.0119
4.5000,0.0751,0.1604,0.0121
4.5200,0.0755,0.1625,0.0122
4.5400,0.0759,0.1644,0.0123
4.5600,0.0763,0.1664,0.0124
4.5800,0.0766,0.1682,0.0126
4.6000,0.0769,0.1697,0.0127
4.6200,0.0772,0.1710,0.0128
4.6400,0.0775,0.1724,0.0128
4.6600,0.0777,0.1735,0.0129
4.6800,0.0780,0.1747,0.0130
4.7000,0.0783,0.1760,0.0131
4.7200,0.0785,0.1771,0.0132
4.7400,0.0789,0.1782,0.0133
4.7600,0.0792,0.1798,0.0134
4.7800,0.0797,0.1815,0.0135
4.8000,0.0801,0.1833,0.0136
4.8200,0.0806,0.1853,0.0138
4.8400,0.0809,0.1875,0.0140
4.8600,0.0813,0.1894,0.0141
4.8800,0.0816,0.1911,0.0142
4.9000,0.0819,0.1925,0.0143
4.9200,0.0822,0.1937,0.0144
4.9400,0.0825,0.1951,0.0145
4.9600,0.0828,0.1965,0.0146
4.9800,0.0830,0.1978,0.0147
5.0000,0.0833,0.1990,0.0148
5.0200,0.0836,0.2001,0.0149
5.0400,0.0838,0.2013,0.0149
5.0600,0.0842,0.2024,0.0151
5.0800,0.0845,0.2040,0.0151
5.1000,0.0850,0.2058,0.0153
5.1200,0.0854,0.2078,0.0154
5.1400,0.0859,0.2101,0.0156
5.1600,0.0862,0.2121,0.0157
5.1800,0.0866,0.2140,0.0159
5.2000,0.0869,0.2159,0.0160
5.2200,0.0873,0.2175,0.0161
5.2400,0.0875,0.2191,0.0162
5.2600,0.0878,0.2206,0.0163
5.2800,0.0881,0.2218,0.0164
5.3000,0.0883,0.2230,0.0165
5.3200,0.0886,0.2243,0.0166
5.3400,0.0889,0.2254,0.0167
5.3600,0.0892,0.2269,0.0168
5.3800,0.0896,0.2286,0.0169
5.4000,0.0901,0.2306,0.0170
5.4200,0.0905,0.2328,0.0172
5.4400,0.0909,0.2350,0.0174
5.4600,0.0913,0.2370,0.0175
5.4800,0.0916,0.2389,0.0176
5.5000,0.0919,0.2406,0.0177
5.5200,0.0922,0.2420,0.0178
5.5400,0.0925,0.2433,0.0179
5.5600,0.0928,0.2449,0.0180
5.5800,0.0931,0.2463,0.0181
5.6000,0.0933,0.2476,0.0182
5.6200,0.0936,0.2489,0.0183
5.6400,0.0939,0.2501,0.0184
5.6600,0.0942,0.2515,0.0185
5.6800,0.0945,0.2530,0.0186
5.7000,0.0949,0.2546,0.0187
5.7200,0.0954,0.2565,0.0188
5.7400,0.0958,0.2589,0.0190
5.7600,0.0962,0.2610,0.0192
5.7800,0.0966,0.2632,0.0193
5.8000,0.0970,0.2651,0.0195
5.8200,0.0973,0.2670,0.0196
5.8400,0.0976,0.2686,0.0197
5.8600,0.0978,0.2700,0.0199
5.8800,0.0981,0.2712,0.0199
5.9000,0.0984,0.2724,0.0200
5.9200,0.0986,0.2738,0.0201
5.9400,0.0989,0.2750,0.0202
5.9600,0.0992,0.2762,0.0203
5.9800,0.0995,0.2776,0.0204
6.0000,0.0999,0.2794,0.0206
6.0200,0.1003,0.2816,0.0207
6.0400,0.1008,0.2837,0.0209
6.0600,0.1012,0.2858,0.0210
6.0800,0.1016,0.2881,0.0212
6.1000,0.1019,0.2902,0.0213
6.1200,0.1022,0.2918,0.0214
6.1400,0.1025,0.2934,0.0215
6.1600,0.1029,0.2949,0.0216
6.1800,0.1031,0.2964,0.0217
6.2000,0.1034,0.2977,0.0218
6.2200,0.1037,0.2992,0.0219
6.2400,0.1039,0.3006,0.0221
6.2600,0.1042,0.3019,0.0221
6.2800,0.1045,0.3031,0.0222
6.3000,0.1049,0.3047,0.0223
6.3200,0.1053,0.3064,0.0225
6.3400,0.1057,0.3087,0.0226
6.3600,0.1062,0.3112,0.0228
6.3800,0.1066,0.3136,0.0230
6.4000,0.1070,0.3157,0.0231
6.4200,0.1073,0.3176,0.0232
6.4400,0.1076,0.3193,0.0233
6.4600,0.1079,0.3209,0.0235
6.4800,0.1082,0.3224,0.0236
6.5000,0.1084,0.3235,0.0237
6.5200,0.1087,0.3246,0.0238
6.5400,0.1089,0.3261,0.0239
6.5600,0.1092,0.3276,0.0240
6.5800,0.1095,0.3291,0.0241
6.6000,0.1099,0.3306,0.0242
6.6200,0.1103,0.3324,0.0244
6.6400,0.1107,0.3347,0.0245
6.6600,0.1112,0.3372,0.0246
6.6800,0.1115,0.3394,0.0248
6.7000,0.1119,0.3416,0.0250
6.7200,0.1122,0.3434,0.0251
6.7400,0.1126,0.3451,0.0252
6.7600,0.1129,0.3468,0.0254
6.7800,0.1132,0.3485,0.0255
6.8000,0.1134,0.3500,0.0256
6.8200,0.1137,0.3515,0.0257
6.8400,0.1139,0.3529,0.0258
6.8600,0.1143,0.3543,0.0259
6.8800,0.1145,0.3558,0.0260
6.9000,0.1149,0.3573,0.0261
6.9200,0.1152,0.3590,0.0262
6.9400,0.1157,0.3609,0.0264
6.9600,0.1161,0.3632,0.0265
6.9800,0.1166,0.3656,0.0267
7.0000,0.1169,0.3681,0.0269
7.0200,0.1173,0.3702,0.0270
7.0400,0.1176,0.3718,0.0272
7.0600,0.1179,0.3734,0.0273
7.0800,0.1182,0.3751,0.0274
7.1000,0.1184,0.3766,0.0275
7.1200,0.1187,0.3780,0.0276
7.1400,0.1189,0.3792,0.0277
7.1600,0.1192,0.3806,0.0278
7.1800,0.1195,0.3820,0.0279
7.2000,0.1198,0.3836,0.0280
7.2200,0.1202,0.3854,0.0281
7.2400,0.1206,0.3874,0.0283
7.2600,0.1211,0.3897,0.0285
7.2800,0.1216,0.3924,0.0286
7.3000,0.1219,0.3948,0.0288
7.3200,0.1222,0.3970,0.0289
7.3400,0.1226,0.3990,0.0291
7.3600,0.1229,0.4008,0.0293
7.3800,0.1232,0.4025,0.0294
7.4000,0.1235,0.4041,0.0294
7.4200,0.1237,0.4056,0.0296
7.4400,0.1240,0.4070,0.0297
7.4600,0.1243,0.4084,0.0298
7.4800,0.1246,0.4097,0.0299
7.5000,0.1249,0.4111,0.0300
7.5200,0.1252,0.4128,0.0301
7.5400,0.1256,0.4147,0.0302
7.5600,0.1261,0.4170,0.0304
7.5800,0.1265,0.4193,0.0306
7.6000,0.1269,0.4218,0.0308
7.6200,0.1273,0.4243,0.0309
7.6400,0.1276,0.4264,0.0311
7.6600,0.1279,0.4284,0.0312
7.6800,0.1282,0.4299,0.0314
7.7000,0.1285,0.4314,0.0315
7.7200,0.1287,0.4328,0.0316
7.7400,0.1290,0.4343,0.0316
7.7600,0.1293,0.4358,0.0317
7.7800,0.1295,0.4372,0.0319
7.8000,0.1299,0.4387,0.0320
7.8200,0.1302,0.4404,0.0321
7.8400,0.1306,0.4423,0.0323
7.8600,0.1311,0.4446,0.0324
7.8800,0.1315,0.4470,0.0326
7.9000,0.1319,0.4496,0.0328
7.9200,0.1323,0.4521,0.0330
7.9400,0.1326,0.4543,0.0331
7.9600,0.1329,0.4562,0.0332
7.9800,0.1332,0.4580,0.0333
8.0000,0.1336,0.4597,0.0335
8.0200,0.1338,0.4614,0.0337
8.0400,0.1340,0.4629,0.0338
8.0600,0.1343,0.4642,0.0338
8.0800,0.1346,0.4658,0.0339
8.1000,0.1349,0.4673,0.0340
8.1200,0.1352,0.4689,0.0342
8.1400,0.1356,0.4706,0.0343
8.1600,0.1360,0.4727,0.0344
8.1800,0.1364,0.4751,0.0346
8.2000,0.1368,0.4775,0.0348
8.2200,0.1372,0.4799,0.0350
8.2400,0.1376,0.4822,0.0352
8.2600,0.1379,0.4845,0.0353
8.2800,0.1382,0.4866,0.0354
8.3000,0.1385,0.4880,0.0355
8.3200,0.1388,0.4896,0.0356
8.3400,0.1391,0.4912,0.0358
8.3600,0.1393,0.4926,0.0359
8.3800,0.1396,0.4940,0.0360
8.4000,0.1399,0.4955,0.0361
