Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0003,0.0002
0.0200,0.0001,0.0003,0.0002
0.0400,0.0002,0.0002,0.0002
0.0600,0.0003,0.0003,0.0002
0.0800,0.0007,0.0003,0.0002
0.1000,0.0011,0.0002,0.0002
0.1200,0.0015,0.0002,0.0002
0.1400,0.0019,0.0004,0.0002
0.1600,0.0022,0.0004,0.0002
0.1800,0.0026,0.0003,0.0002
0.2000,0.0031,0.0002,0.0002
0.2200,0.0036,0.0001,0.0002
0.2400,0.0041,0.0001,0.0002
0.2600,0.0045,0.0002,0.0002
0.2800,0.0049,0.0002,0.0002
0.3000,0.0052,0.0002,0.0002
0.3200,0.0055,0.0003,0.0002
0.3400,0.0058,0.0002,0.0002
0.3600,0.0061,0.0001,0.0002
0.3800,0.0064,0.0001,0.0002
0.4000,0.0066,0.0001,0.0002
0.4200,0.0069,0.0001,0.0002
0.4400,0.0072,0.0002,0.0002
0.4600,0.0075,0.0003,0.0002
0.4800,0.0079,0.0004,0.0002
0.5000,0.0083,0.0003,0.0002
0.5200,0.0087,0.0003,0.0002
0.5400,0.0092,0.0002,0.0002
0.5600,0.0095,0.0002,0.0002
0.5800,0.0099,0.0002,0.0002
0.6000,0.0102,0.0003,0.0002
0.6200,0.0106,0.0004,0.0002
0.6400,0.0108,0.0003,0.0002
0.6600,0.0111,0.0003,0.0002
0.6800,0.0114,0.0003,0.0002
0.7000,0.0116,0.0003,0.0002
0.7200,0.0119,0.0003,0.0002
0.7400,0.0122,0.0002,0.0002
0.7600,0.0125,0.0003,0.0002
0.7800,0.0129,0.0002,0.0002
0.8000,0.0133,0.0003,0.0002
0.8200,0.0138,0.0003,0.0002
0.8400,0.0142,0.0002,0.0002
0.8600,0.0146,0.0002,0.0002
0.8800,0.0149,0.0003,0.0002
0.9000,0.0153,0.0002,0.0002
0.9200,0.0155,0.0001,0.0002
0.9400,0.0159,0.0002,0.0002
0.9600,0.0161,0.0004,0.0002
0.9800,0.0164,0.0003,0.0002
1.0000,0.0167,0.0003,0.0002
1.0200,0.0169,0.0002,0.0002
1.0400,0.0172,0.0002,0.0002
1.0600,0.0175,0.0003,0.0003
1.0800,0.0178,0.0003,0.0003
1.1000,0.0182,0.0003,0.0002
1.1200,0.0186,0.0003,0.0002
1.1400,0.0191,0.0002,0.0003
1.1600,0.0195,0.0003,0.0003
1.1800,0.0199,0.0004,0.0002
1.2000,0.0202,0.0005,0.0002
1.2200,0.0206,0.0004,0.0002
1.2400,0.0208,0.0003,0.0002
1.2600,0.0211,0.0002,0.0002
1.2800,0.0214,0.0003,0.0002
1.3000,0.0216,0.0003,0.0002
1.3200,0.0219,0.0003,0.0002
1.3400,0.0222,0.0004,0.0002
1.3600,0.0225,0.0005,0.0002
1.3800,0.0228,0.0006,0.0002
1.4000,0.0232,0.0005,0.0002
1.4200,0.0237,0.0006,0.0002
1.4400,0.0242,0.0005,0.0002
1.4600,0.0245,0.0005,0.0002
1.4800,0.0249,0.0004,0.0002
1.5000,0.0253,0.0004,0.0002
1.5200,0.0256,0.0004,0.0002
1.5400,0.0259,0.0004,0.0002
1.5600,0.0262,0.0004,0.0002
1.5800,0.0265,0.0005,0.0002
1.6000,0.0267,0.0004,0.0002
1.6200,0.0269,0.0004,0.0002
1.6400,0.0272,0.0005,0.0002
1.6600,0.0275,0.0006,0.0002
1.6800,0.0278,0.0006,0.0002
1.7000,0.0282,0.0004,0.0002
1.7200,0.0286,0.0003,0.0003
1.7400,0.0290,0.0004,0.0002
1.7600,0.0295,0.0004,0.0002
1.7800,0.0299,0.0005,0.0002
1.8000,0.0303,0.0005,0.0002
1.8200,0.0306,0.0005,0.0002
1.8400,0.0309,0.0004,0.0002
1.8600,0.0312,0.0004,0.0002
1.8800,0.0314,0.0005,0.0002
1.9000,0.0317,0.0006,0.0002
1.9200,0.0320,0.0005,0.0002
1.9400,0.0322,0.0004,0.0002
1.9600,0.0325,0.0004,0.0002
1.9800,0.0328,0.0003,0.0002
2.0000,0.0332,0.0003,0.0002
2.0200,0.0336,0.0005,0.0002
2.0400,0.0341,0.0005,0.0002
2.0600,0.0345,0.0006,0.0002
2.0800,0.0349,0.0005,0.0002
2.1000,0.0352,0.0005,0.0002
2.1200,0.0356,0.0005,0.0002
2.1400,0.0359,0.0004,0.0002
2.1600,0.0362,0.0003,0.0002
2.1800,0.0365,0.0003,0.0002
2.2000,0.0367,0.0003,0.0002
2.2200,0.0370,0.0005,0.0002
2.2400,0.0373,0.0007,0.0002
