Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0.0000,0.0000,0.0006,-0.0089
0.0200,0.0000,0.0006,-0.0089
0.0400,0.0001,0.0005,-0.0089
0.0600,0.0003,0.0006,-0.0089
0.0800,0.0005,0.0007,-0.0089
0.1000,0.0009,0.0006,-0.0089
0.1200,0.0013,0.0007,-0.0088
0.1400,0.0018,0.0008,-0.0089
0.1600,0.0022,0.0010,-0.0089
0.1800,0.0027,0.0012,-0.0089
0.2000,0.0033,0.0017,-0.0088
0.2200,0.0037,0.0022,-0.0088
0.2400,0.0041,0.0031,-0.0087
0.2600,0.0044,0.0042,-0.0087
0.2800,0.0048,0.0052,-0.0087
0.3000,0.0051,0.0059,-0.0087
0.3200,0.0054,0.0067,-0.0087
0.3400,0.0056,0.0073,-0.0086
0.3600,0.0059,0.0079,-0.0086
0.3800,0.0062,0.0086,-0.0086
0.4000,0.0064,0.0092,-0.0086
0.4200,0.0067,0.0099,-0.0085
0.4400,0.0071,0.0108,-0.0085
0.4600,0.0075,0.0117,-0.0084
0.4800,0.0079,0.0126,-0.0084
0.5000,0.0084,0.0137,-0.0083
0.5200,0.0088,0.0149,-0.0083
0.5400,0.0092,0.0162,-0.0082
0.5600,0.0095,0.0175,-0.0082
0.5800,0.0098,0.0185,-0.0081
0.6000,0.0101,0.0196,-0.0081
0.6200,0.0104,0.0206,-0.0080
0.6400,0.0107,0.0215,-0.0080
0.6600,0.0109,0.0223,-0.0079
0.6800,0.0112,0.0231,-0.0079
0.7000,0.0115,0.0238,-0.0078
0.7200,0.0118,0.0247,-0.0078
0.7400,0.0122,0.0259,-0.0078
0.7600,0.0126,0.0270,-0.0077
0.7800,0.0130,0.0283,-0.0077
0.8000,0.0134,0.0298,-0.0076
0.8200,0.0138,0.0312,-0.0076
0.8400,0.0142,0.0325,-0.0075
0.8600,0.0145,0.0336,-0.0075
0.8800,0.0148,0.0346,-0.0074
0.9000,0.0151,0.0356,-0.0074
0.9200,0.0154,0.0366,-0.0074
0.9400,0.0157,0.0374,-0.0073
0.9600,0.0160,0.0381,-0.0073
0.9800,0.0162,0.0389,-0.0073
1.0000,0.0165,0.0399,-0.0073
1.0200,0.0168,0.0408,-0.0072
1.0400,0.0171,0.0417,-0.0072
1.0600,0.0175,0.0427,-0.0071
1.0800,0.0179,0.0438,-0.0071
1.1000,0.0183,0.0452,-0.0071
1.1200,0.0187,0.0469,-0.0070
1.1400,0.0192,0.0483,-0.0069
1.1600,0.0196,0.0493,-0.0068
1.1800,0.0199,0.0505,-0.0069
1.2000,0.0201,0.0516,-0.0068
1.2200,0.0205,0.0527,-0.0067
1.2400,0.0207,0.0535,-0.0067
1.2600,0.0209,0.0543,-0.0068
1.2800,0.0212,0.0551,-0.0068
1.3000,0.0215,0.0559,-0.0066
1.3200,0.0218,0.0567,-0.0066
1.3400,0.0221,0.0577,-0.0066
1.3600,0.0225,0.0589,-0.0064
1.3800,0.0229,0.0601,-0.0063
1.4000,0.0234,0.0618,-0.0065
1.4200,0.0238,0.0635,-0.0065
1.4400,0.0242,0.0653,-0.0062
1.4600,0.0245,0.0670,-0.0059
1.4800,0.0249,0.0680,-0.0062
1.5000,0.0251,0.0690,-0.0064
1.5200,0.0254,0.0701,-0.0061
1.5400,0.0257,0.0714,-0.0060
1.5600,0.0260,0.0728,-0.0062
1.5800,0.0262,0.0738,-0.0060
1.6000,0.0265,0.0746,-0.0058
1.6200,0.0268,0.0755,-0.0061
1.6400,0.0271,0.0767,-0.0062
1.6600,0.0275,0.0782,-0.0057
1.6800,0.0279,0.0797,-0.0056
1.7000,0.0283,0.0814,-0.0059
1.7200,0.0287,0.0833,-0.0059
1.7400,0.0291,0.0853,-0.0056
1.7600,0.0296,0.0874,-0.0057
1.7800,0.0299,0.0894,-0.0057
1.8000,0.0302,0.0910,-0.0054
1.8200,0.0305,0.0921,-0.0054
1.8400,0.0307,0.0932,-0.0057
1.8600,0.0310,0.0946,-0.0056
1.8800,0.0312,0.0962,-0.0053
1.9000,0.0315,0.0976,-0.0053
1.9200,0.0318,0.0989,-0.0055
1.9400,0.0321,0.1002,-0.0054
1.9600,0.0325,0.1019,-0.0052
1.9800,0.0328,0.1039,-0.0053
2.0000,0.0333,0.1063,-0.0053
2.0200,0.0337,0.1086,-0.0050
2.0400,0.0341,0.1108,-0.0050
2.0600,0.0345,0.1129,-0.0052
2.0800,0.0348,0.1149,-0.0051
2.1000,0.0351,0.1167,-0.0048
2.1200,0.0355,0.1183,-0.0049
2.1400,0.0357,0.1197,-0.0050
2.1600,0.0361,0.1212,-0.0049
2.1800,0.0363,0.1228,-0.0048
2.2000,0.0366,0.1244,-0.0049
2.2200,0.0369,0.1258,-0.0048
2.2400,0.0371,0.1274,-0.0047
2.2600,0.0374,0.1290,-0.0047
2.2800,0.0378,0.1306,-0.0048
2.3000,0.0382,0.1326,-0.0046
2.3200,0.0387,0.1351,-0.0044
2.3400,0.0391,0.1376,-0.0045
2.3600,0.0395,0.1400,-0.0045
2.3800,0.0399,0.1422,-0.0044
